Batch_Number,Rows_Processed,Start_Date,End_Date,Return_Anomalies,Volatility_Spikes,High_Volume_Events,Max_Risk_Score,Processed_At
1,250,2022-01-03,2022-04-01,1,16,47,86.1,2026-07-08T17:14:35
2,250,2022-04-01,2022-07-01,2,103,39,96.3,2026-07-08T17:14:35
3,250,2022-07-05,2022-09-30,5,2,22,91.2,2026-07-08T17:14:35
4,250,2022-09-30,2022-12-29,6,74,29,98.1,2026-07-08T17:14:35
5,250,2022-12-30,2023-03-31,1,21,56,97.0,2026-07-08T17:14:35
6,250,2023-03-31,2023-06-30,3,20,34,78.1,2026-07-08T17:14:35
7,250,2023-07-03,2023-09-29,5,0,22,70.3,2026-07-08T17:14:35
8,250,2023-09-29,2023-12-28,2,0,9,66.8,2026-07-08T17:14:35
9,250,2023-12-29,2024-04-01,8,5,17,72.2,2026-07-08T17:14:35
10,250,2024-04-01,2024-06-28,8,13,11,88.5,2026-07-08T17:14:35
11,250,2024-07-01,2024-09-27,5,23,10,86.5,2026-07-08T17:14:35
12,250,2024-09-27,2024-12-26,4,23,8,77.4,2026-07-08T17:14:35
13,8,2024-12-27,2024-12-30,0,0,0,52.8,2026-07-08T17:14:35
