Week_Start,Region,Segment,Product_Family,Pipeline_Value_EUR,Bookings_EUR,Win_Rate,Conversion_Rate,Activity_Count,New_Opportunities,Forecast_Coverage,Event_Label,Event_Driver,Data_Classification,Pipeline_Change_4W,Bookings_Change_4W,Win_Rate_Change_4W,Attention_Score,Requires_Review
2025-01-06,Benelux,Commercial,AI,118169.92,23674.47,0.2172,0.1352,64,14,4.99,normal,No material exception,SYNTHETIC_DEMO_ONLY,,,,0.0,False
2025-01-06,Benelux,Commercial,Automation,156139.26,29922.93,0.2197,0.1219,82,14,5.22,normal,No material exception,SYNTHETIC_DEMO_ONLY,,,,0.0,False
2025-01-06,Benelux,Commercial,Cloud,179048.1,34930.79,0.2262,0.1445,99,17,5.13,normal,No material exception,SYNTHETIC_DEMO_ONLY,,,,0.0,False
2025-01-06,Benelux,Commercial,Platform,177490.7,35073.75,0.2203,0.1264,117,22,5.06,normal,No material exception,SYNTHETIC_DEMO_ONLY,,,,0.0,False
2025-01-06,Benelux,Enterprise,AI,177958.34,37756.63,0.2617,0.138,114,23,4.71,normal,No material exception,SYNTHETIC_DEMO_ONLY,,,,0.0,False
2025-01-06,Benelux,Enterprise,Automation,221458.61,46932.01,0.2626,0.1383,156,21,4.72,normal,No material exception,SYNTHETIC_DEMO_ONLY,,,,0.0,False
2025-01-06,Benelux,Enterprise,Cloud,287855.73,59146.67,0.2599,0.1404,205,40,4.87,normal,No material exception,SYNTHETIC_DEMO_ONLY,,,,0.0,False
2025-01-06,Benelux,Enterprise,Platform,308020.59,78738.94,0.2953,0.1782,213,34,3.91,normal,No material exception,SYNTHETIC_DEMO_ONLY,,,,0.0,False
2025-01-06,DACH,Commercial,AI,188935.47,36285.48,0.2382,0.1275,130,22,5.21,normal,No material exception,SYNTHETIC_DEMO_ONLY,,,,0.0,False
2025-01-06,DACH,Commercial,Automation,222605.02,44238.04,0.2539,0.136,153,30,5.03,normal,No material exception,SYNTHETIC_DEMO_ONLY,,,,0.0,False
2025-01-06,DACH,Commercial,Cloud,273151.58,47971.57,0.2123,0.1234,192,37,5.69,normal,No material exception,SYNTHETIC_DEMO_ONLY,,,,0.0,False
2025-01-06,DACH,Commercial,Platform,312527.29,77910.33,0.2691,0.1594,193,43,4.01,normal,No material exception,SYNTHETIC_DEMO_ONLY,,,,0.0,False
2025-01-06,DACH,Enterprise,AI,296585.53,78900.82,0.3006,0.1562,172,32,3.76,normal,No material exception,SYNTHETIC_DEMO_ONLY,,,,0.0,False
2025-01-06,DACH,Enterprise,Automation,359134.6,81880.61,0.2564,0.1424,222,40,4.39,normal,No material exception,SYNTHETIC_DEMO_ONLY,,,,0.0,False
2025-01-06,DACH,Enterprise,Cloud,461284.63,133738.44,0.311,0.1613,294,60,3.45,normal,No material exception,SYNTHETIC_DEMO_ONLY,,,,0.0,False
2025-01-06,DACH,Enterprise,Platform,477949.2,91685.77,0.2423,0.1213,322,54,5.21,normal,No material exception,SYNTHETIC_DEMO_ONLY,,,,0.0,False
2025-01-06,France,Commercial,AI,148094.88,29424.62,0.2337,0.1324,82,15,5.03,normal,No material exception,SYNTHETIC_DEMO_ONLY,,,,0.0,False
2025-01-06,France,Commercial,Automation,173317.91,30983.64,0.2063,0.1115,139,24,5.59,normal,No material exception,SYNTHETIC_DEMO_ONLY,,,,0.0,False
2025-01-06,France,Commercial,Cloud,197893.29,39050.19,0.2249,0.145,137,31,5.07,normal,No material exception,SYNTHETIC_DEMO_ONLY,,,,0.0,False
2025-01-06,France,Commercial,Platform,215832.34,44709.47,0.2309,0.1415,117,19,4.83,normal,No material exception,SYNTHETIC_DEMO_ONLY,,,,0.0,False
